timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:55:00:908994,62.74964348,12273,920,109.3049823,951.0847787,,,,
2020-02-14 15:55:01:166751,123.2608696,-7.05E-06,975,49.33976109,1020.338011,,,,
2020-02-14 15:55:01:425431,72.63516522,10268,975,99.5086596,1020.338011,,,,
2020-02-14 15:55:01:684005,89.66981739,6813,917,82.62771451,947.3073296,,,,
2020-02-14 15:55:01:942768,112.3251652,2218.000004,956,60.17679044,996.4141669,,,,
2020-02-14 15:55:02:202234,164.5631217,-8376.999992,982,8.410187475,1029.152058,,,,
2020-02-14 15:55:02:461632,184.7828348,-12478,924,-11.62707911,956.1213773,,,,
2020-02-14 15:55:02:722808,192.5581304,-14054.99999,940,-19.33221666,976.2677721,,,,
2020-02-14 15:55:02:982828,195.1170261,-14574,956,-21.86802293,996.4141669,,,,
2020-02-14 15:55:03:242296,277.6032,-31304,978,-103.6099076,1024.11546,,,,
2020-02-14 15:55:03:501716,263.349313,-28412.99999,919,-89.48463625,949.825629,,,,
2020-02-14 15:55:03:761214,237.2722435,-23124,935,-63.64286536,969.9720238,,,,
2020-02-14 15:55:04:019739,207.9608087,-17179,957,-34.59591351,997.6733166,,,,
2020-02-14 15:55:04:279573,202.7098957,-16114.00001,924,-29.39238055,956.1213773,,,,
2020-02-14 15:55:04:538253,198.030913,-15164.99999,928,-24.75561724,961.157976,,,,
2020-02-14 15:55:04:795460,123.2608696,-7.05E-06,983,49.33976109,1030.411208,,,,
2020-02-14 15:55:05:312812,181.6421478,-11840.99999,927,-8.514731154,959.8988264,,,,
2020-02-14 15:55:05:571524,175.2325826,-10541,779,-2.163000744,773.5446746,,,,
2020-02-14 15:55:05:830999,175.9918696,-10695.00001,708,-2.915436545,684.1450478,,,,
2020-02-14 15:55:06:089561,175.395287,-10574.00001,659,-2.324237029,622.4467137,,,,
2020-02-14 15:55:06:348392,174.783913,-10449.99999,602,-1.718379579,550.6751823,,,,
2020-02-14 15:55:06:615472,123.2608696,-7.05E-06,583,49.33976109,526.7513385,,,,
2020-02-14 15:55:07:129868,173.1124957,-10111.00001,551,-0.062043812,486.4585489,,,,
2020-02-14 15:55:07:388383,176.5884522,-10816.00001,534,-3.506636061,465.0530045,,,,
2020-02-14 15:55:07:647117,176.8793478,-10874.99999,526,-3.794906852,454.9798071,,,,
2020-02-14 15:55:11:465521,174.3598957,-10364.00001,498,-1.298188272,419.7236162,,,,
